1285,Montana,montana,montana-state,louisiana-monroe,
1286,Montana St,montana-state,montana,morgan-state,
1287,Morehead St,morehead-state,southeast-missouri-state,morgan-state,
1288,Morgan St,morgan-state,michigan-state,morehead-state,
1289,Morris Brown,morris-brown,robert-morris,brown,
1290,MS Valley St,mississippi-valley-state,utah-valley,murray-state,
1291,Mt St Mary's,mount-st-marys,saint-marys-ca,southeast-missouri-state,
1292,MTSU,middle-tennessee,suny-potsdam,latter-day-saints-university,massachusetts
1293,Murray St,murray-state,southeast-missouri-state,northest-missouri-state,
1294,N Colorado,northern-colorado,colorado,colorado-school-of-mines,
1295,N Dakota St,north-dakota-state,south-dakota-state,north-dakota,
1296,N Illinois,northeastern-illinois,northern-illinois,southern-illinois,
1297,N Kentucky,northern-kentucky,eastern-kentucky,western-kentucky,
1298,Navy,navy,northern-arizona,nevada,
1299,NC A&T,north-carolina-at,north-carolina,north-carolina-state,
1300,NC Central,north-central,central-normal-college,north-carolina-central,
1301,NC State,north-carolina-state,norfolk-state,,nicholls-state
1302,NE Illinois,northeastern-illinois,,southern-illinois,northern-illinois
1303,NE Omaha,nebraska-omaha,oklahoma-state,new-orleans,
1304,Nebraska,nebraska,nebraska-wesleyan,nebraska-omaha,
1305,Nevada,nevada,nevada-las-vegas,geneva,
1306,New Hampshire,new-hampshire,new-mexico-state,eastern-washington,
1307,New Mexico,new-mexico,new-mexico-state,city-college-of-new-york,
1308,New Mexico St,new-mexico-state,new-mexico,northest-missouri-state,
1309,New Orleans,new-orleans,city-college-of-new-york,college-of-new-jersey,
1310,Niagara,niagara,california-santa-barbara,virginia-military-institute,
1311,Nicholls St,nicholls-state,st-johns-college-oh,haskell-indian-nations-institute,
1312,NJIT,njit,st-francis-ny,st-johns-ny,
1313,Norfolk St,norfolk-state,northwestern-state,north-carolina-state,
1314,North Carolina,north-carolina,north-carolina-central,north-carolina-asheville,
1315,North Dakota,north-dakota,north-dakota-state,south-dakota,
1316,North Florida,north-florida,south-florida,central-florida,
1317,North Texas,north-texas,texas-southern,north-dakota-state,
1318,Northeastern,northeastern,northeastern-illinois,northwestern,
1319,Northern Arizona,northern-arizona,northern-iowa,northern-illinois,
1320,Northern Iowa,northern-iowa,northeastern-illinois,northern-illinois,
1321,Northwestern,northwestern,northwestern-state,northeastern,
1322,Northwestern LA,,northwestern,northeastern-illinois,northwestern-state
1323,Notre Dame,notre-dame,north-dakota-state,north-dakota,
1324,Oakland,oakland,maryland-baltimore-county,maryland-eastern-shore,
1325,Ohio,ohio,ohio-wesleyan,ohio-state,
1326,Ohio St,ohio-state,st-johns-college-oh,ohio-wesleyan,
1327,Okla City,oklahoma-city,city-college-of-new-york,missouri-kansas-city,
1328,Oklahoma,oklahoma,oklahoma-state,oklahoma-city,
1329,Oklahoma St,oklahoma-state,oklahoma-city,oklahoma,
1330,Old Dominion,old-dominion,colorado-school-of-mines,savage-school-of-physical-education,
1331,Oral Roberts,oral-roberts,robert-morris,north-carolina-central,
1332,Oregon,oregon,oregon-state,college-of-charleston,
1333,Oregon St,oregon-state,oregon,bowling-green-state,
1334,Pacific,pacific,saint-francis-pa,texas-pan-american,
1335,Penn,pennsylvania,penn-state,central-pennsylvania-college,
1336,Penn St,penn-state,wisconsin-stevens-point,east-tennessee-state,
1337,Pepperdine,pepperdine,arkansas-pine-bluff,saint-peters,
1338,Pittsburgh,pittsburgh,pittsburg-state,gettysburg,
1339,Portland,portland,portland-state,maryland-eastern-shore,
1340,Portland St,portland-state,portland,maryland-eastern-shore,
1341,Prairie View,prairie-view,pratt-institute,new-hampshire,
1342,Presbyterian,presbyterian,texas-pan-american,abilene-christian,
1343,Princeton,princeton,providence,carleton-college,
1344,Providence,providence,princeton,central-pennsylvania-college,
1345,Purdue,purdue,pepperdine,providence,
1346,Quinnipiac,quinnipiac,central-pennsylvania-college,abilene-christian,
1347,Radford,radford,samford,hartford,
1348,Rhode Island,rhode-island,long-island-university,maryland-eastern-shore,
1349,Rice,rice,richmond,california-riverside,
1350,Richmond,richmond,rhode-island,maryland-baltimore-county,
1351,Rider,rider,california-riverside,widener,
1352,Robert Morris,robert-morris,morris-brown,oral-roberts,
1353,Rutgers,rutgers,latter-day-saints-university,georgia-southern,
1354,S Carolina St,south-carolina-state,north-carolina-state,south-carolina-upstate,
1355,S Dakota St,south-dakota-state,north-dakota-state,south-dakota,
1356,S Illinois,southern-illinois,southern-illinois-edwardsville,illinois-state,
1357,Sacred Heart,sacred-heart,maryland-eastern-shore,sacramento-state,
1358,Sam Houston St,sam-houston-state,houston-baptist,houston,
1359,Samford,samford,stanford,hartford,
1360,San Diego,san-diego,san-diego-state,texas-san-antonio,
1361,San Diego St,san-diego-state,san-diego,san-jose-state,
1362,San Francisco,san-francisco,saint-francis-pa,st-francis-ny,
1363,San Jose St,san-jose-state,saint-josephs,st-johns-college-oh,
1364,Santa Barbara,california-santa-barbara,santa-clara,st-bonaventure,
1365,Santa Clara,santa-clara,california-santa-barbara,south-carolina,
1366,Savannah St,savannah-state,savage-school-of-physical-education,sacramento-state,
1367,SC Upstate,south-carolina-upstate,south-carolina-state,pittsburg-state,
1368,SE Louisiana,southeastern-louisiana,louisiana-state,louisiana-lafayette,
1369,SE Missouri St,southeast-missouri-state,northest-missouri-state,missouri-state,
1370,Seattle,seattle,arkansas-little-rock,jacksonville-state,
1371,Seton Hall,seton-hall,haskell-indian-nations-institute,cal-state-fullerton,
1372,SF Austin,stephen-f-austin,austin-peay,massachusetts-institute-of-technology,
1373,Siena,siena,southern-illinois-edwardsville,louisiana-state,
1374,SMU,southeast-missouri-state,saint-marys-ca,murray-state,
1375,South Alabama,south-alabama,alabama-state,alabama-birmingham,
1376,South Carolina,south-carolina,south-carolina-upstate,south-carolina-state,
1377,South Dakota,south-dakota,south-dakota-state,north-dakota-state,
1378,South Florida,south-florida,north-florida,florida-gulf-coast,
1379,Southern Miss,southern-mississippi,southern-methodist,southeast-missouri-state,
1380,Southern Univ,southern,southern-illinois-edwardsville,southern-california,southern-utah
1381,Southern Utah,southern-utah,georgia-southern,texas-southern,
1382,St Bonaventure,st-bonaventure,central-connecticut-state,bowling-green-state,
1383,St Francis NY,st-francis-ny,saint-francis-pa,san-francisco,
1384,St Francis PA,saint-francis-pa,st-francis-ny,san-francisco,
1385,St John's,st-johns-ny,st-johns-college-oh,san-jose-state,
1386,St Joseph's PA,saint-josephs,san-jose-state,st-johns-college-oh,
1387,St Louis,saint-louis,southeastern-louisiana,louisiana-state,
1388,St Mary's CA,saint-marys-ca,mount-st-marys,southeast-missouri-state,
1389,St Peter's,saint-peters,penn-state,pittsburg-state,
1390,Stanford,stanford,samford,portland-state,
1391,Stetson,stetson,jackson-state,oregon-state,
1392,Stony Brook,stony-brook,brooklyn,st-bonaventure,
1393,Syracuse,syracuse,massachusetts-institute-of-technology,central-connecticut-state,
1394,TAM C. Christi,texas-am-corpus-christi,texas-christian,abilene-christian,
1395,TCU,texas-christian,cotner-university,trinity-ct,south-carolina-upstate
1396,Temple,temple,middle-tennessee,emporia-state,
1397,Tennessee,tennessee,middle-tennessee,tennessee-tech,
1398,Tennessee St,tennessee-state,,tennessee-tech,east-tennessee-state
1399,Tennessee Tech,tennessee-tech,middle-tennessee,tennessee,
1400,Texas,texas,west-texas-am,north-texas,
1401,Texas A&M,texas-am,west-texas-am,texas-am-corpus-christi,
1402,Texas St,texas-state,texas-southern,texas-san-antonio,
1403,Texas Tech,texas-tech,texas-am-corpus-christi,texas-christian,
1404,TN Martin,tennessee-martin,saint-marys-ca,maryland-baltimore-county,
1405,Toledo,toledo,northern-colorado,colorado-state,
1406,Towson,towson,washington-jefferson,washington-state,
1407,Troy,troy,detroit-mercy,trinity-ct,
1408,Tulane,tulane,tulsa,maryland-baltimore-county,
1409,Tulsa,tulsa,tulane,massachusetts-institute-of-technology,
1410,TX Pan American,texas-pan-american,american,merchant-marine-academy,
1411,TX Southern,texas-southern,southwestern-tx,southern-illinois-edwardsville,
1412,UAB,alabama-birmingham,cumberland-university,ucla,utica
1413,UC Davis,california-davis,davidson,latter-day-saints-university,
1414,UC Irvine,california-irvine,virginia-military-institute,cheyenne-business-college,
1415,UC Riverside,california-riverside,cotner-university,latter-day-saints-university,
1416,UCF,central-florida,utica,savage-school-of-physical-education,ucla
1417,UCLA,ucla,cumberland-university,utica,
1418,ULL,louisiana-lafayette,ucla,haskell-indian-nations-institute,cal-state-fullerton
1419,ULM,louisiana-monroe,loyola-marymount,rose-hulman,
1420,UMBC,maryland-baltimore-county,,columbia,cumberland-university
1421,UNC Asheville,north-carolina-asheville,southern-illinois-edwardsville,evansville,
1422,UNC Greensboro,north-carolina-greensboro,bowling-green-state,green-bay,
1423,UNC Wilmington,north-carolina-wilmington,washington-college,washington-lee,
1424,UNLV,long-island-university,latter-day-saints-university,lewis-university,
1425,USC,south-carolina,southern-california,south-carolina-upstate,
1426,UT Arlington,texas-arlington,north-carolina-wilmington,washington-jefferson,
1427,UT San Antonio,texas-san-antonio,california-santa-barbara,scranton,
1428,Utah,utah,southern-utah,utah-state,
1429,Utah St,utah-state,southern-utah,utah,
1430,Utah Valley,utah-valley,mississippi-valley-state,utah-state,
1431,UTEP,texas-el-paso,south-carolina-upstate,stephen-f-austin,
1432,Utica,utica,south-carolina-upstate,savage-school-of-physical-education,
1433,VA Commonwealth,virginia-commonwealth,north-carolina-central,maryland-baltimore-county,
1434,Valparaiso,valparaiso,mississippi-valley-state,central-pennsylvania-college,
1435,Vanderbilt,vanderbilt,cumberland-university,maryland-baltimore-county,
1436,Vermont,vermont,belmont,virginia-commonwealth,
1437,Villanova,villanova,north-carolina-asheville,southern-illinois-edwardsville,
1438,Virginia,virginia,west-virginia,virginia-tech,
1439,Virginia Tech,virginia-tech,virginia-commonwealth,west-virginia,
1440,VMI,virginia-military-institute,mississippi-valley-state,miami-oh,
1441,W Carolina,western-carolina,north-carolina-wilmington,coastal-carolina,
1442,W Illinois,western-illinois,illinois-wesleyan,southern-illinois-edwardsville,
1443,W Kentucky,western-kentucky,kentucky-wesleyan,eastern-kentucky,
1444,W Michigan,western-michigan,eastern-michigan,michigan,
1445,W Salem St,wayne-state-mi,sacramento-state,wright-state,
1446,W Texas A&M,west-texas-am,texas-am,texas-am-corpus-christi,
1447,Wagner,wagner,gardner-webb,widener,
1448,Wake Forest,wake-forest,lake-forest,case-western-reserve,
1449,Washington,washington,george-washington,eastern-washington,
1450,Washington St,washington-state,eastern-washington,washington-mo,
1451,Weber St,weber-state,western-state,wright-state,
1452,West Virginia,west-virginia,virginia-military-institute,virginia-commonwealth,
1453,WI Green Bay,green-bay,bowling-green-state,north-carolina-greensboro,
1454,WI Milwaukee,milwaukee,william-mary,wayne-state-mi,
1455,Wichita St,wichita-state,wright-state,washington-state,
1456,William & Mary,william-mary,williams,virginia-military-institute,
1457,Winthrop,winthrop,north-carolina-wilmington,wisconsin-stevens-point,
1458,Wisconsin,wisconsin,wisconsin-superior,wisconsin-stevens-point,
1459,Wofford,wofford,incarnate-word,stanford,
1460,Wright St,wright-state,washington-state,wichita-state,
1461,Wyoming,wyoming,north-carolina-wilmington,washington,
1462,Xavier,xavier,baker-university,prairie-view,
1463,Yale,yale,mississippi-valley-state,maryland-baltimore-county,
1464,Youngstown St,youngstown-state,mount-st-marys,bowling-green-state,
